trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",20,0,-95.31711179737476,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",20,0,-121.12863146207079,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199634}",20,0,-39.3569624458964,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",20,0,-75.49516493205016,"{0: 8, 1: 7, 2: 5, 3: 0, 4: 0}",1
46,False,"{'a': 0.01, 'e': 0.8960524975255252}",25,0,-164.14510937571632,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
47,False,"{'a': 0.01, 'e': 0.891568288195329}",20,0,-65.88105428031827,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",25,4,-161.4076298901363,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 3}",1
49,False,"{'a': 0.01, 'e': 0.8823328586101215}",30,0,-156.04161942256644,"{0: 16, 1: 3, 2: 8, 3: 2, 4: 1}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",20,3,-20.085667846640042,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 0}",1
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",30,0,-87.25066968642477,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",20,0,-113.80611508168056,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",20,0,-130.24307120502232,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",25,0,-147.68965670680126,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",20,1,-35.26914978678876,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 0}",1
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",20,0,-30.787838440732923,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",20,0,-52.012578711802504,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",20,0,-150.43539416914686,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
59,False,"{'a': 0.01, 'e': 0.8309406791001636}",25,0,-67.97610696968142,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",25,11,-57.608870565506045,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",30,3,-235.65442819929214,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 4}",1
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",35,0,-159.0210937397059,"{0: 26, 1: 2, 2: 3, 3: 1, 4: 3}",0
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",30,12,-92.91837561281507,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 1}",1
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",30,0,-187.28149222423087,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 3}",0
65,False,"{'a': 0.01, 'e': 0.7960837985490559}",30,0,-269.17072484831533,"{0: 20, 1: 1, 2: 0, 3: 4, 4: 5}",0
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",25,0,-95.26401674771728,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",35,13,-90.52059792645998,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 1}",1
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",30,0,-109.51210572004712,"{0: 18, 1: 2, 2: 9, 3: 0, 4: 1}",0
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",20,0,-102.01621689186516,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",25,7,-68.94514450756691,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 1}",1
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",35,2,-125.46752864866905,"{0: 23, 1: 1, 2: 7, 3: 0, 4: 2}",1
72,False,"{'a': 0.01, 'e': 0.751805729140895}",30,0,-14.631029734807484,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",0
